new_name,qualtrics_header_1,qualtrics_header_2,qualtrics_header_3
StartDate,StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
EndDate,EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"
delete,Status,Response Type,"{""ImportId"":""status""}"
delete,IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
Progress,Progress,Progress,"{""ImportId"":""progress""}"
Duration (in seconds),Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"
delete,ResponseId,Response ID,"{""ImportId"":""_recordId""}"
delete,RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
delete,RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
delete,RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
delete,ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
delete,LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
delete,LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
delete,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
delete,UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
Idealism_Community_Dishonest_R,Idealism_Community_Dishonest_R,Please indicate how strongly you agree or disagree: - People in my broader community are basically dishonest with each other.,"{""ImportId"":""QID383_4""}"
Idealism_Community_Considerate,Idealism_Community_Considerate,Please indicate how strongly you agree or disagree: - People in my broader community are considerate of the interests of each other.,"{""ImportId"":""QID383_5""}"
Idealism_Community_Good,Idealism_Community_Good,Please indicate how strongly you agree or disagree: - People in my broader community are good to each other.,"{""ImportId"":""QID383_19""}"
Idealism_Community_Positive,Idealism_Community_Positive,Please indicate how strongly you agree or disagree: - People in my broader community's daily lives are connected to each other in positive ways.,"{""ImportId"":""QID383_20""}"
Idealism_Community_Right,Idealism_Community_Right,Please indicate how strongly you agree or disagree: - People in my broader community treat each other right.,"{""ImportId"":""QID383_21""}"
Idealism_Community_Included,Idealism_Community_Included,Please indicate how strongly you agree or disagree: - People in my broader community treat each other with dignity and respect.,"{""ImportId"":""QID383_22""}"
Idealism_Police_Dishonest_R,Idealism_Police_Dishonest_R,Please indicate how strongly you agree or disagree: - Police are basically dishonest toward people in my broader community.,"{""ImportId"":""QID385_4""}"
Idealism_Police_Considerate,Idealism_Police_Considerate,Please indicate how strongly you agree or disagree: - Police are considerate of the interests of people in my broader community.,
Idealism_Police_Good,Idealism_Police_Good,Please indicate how strongly you agree or disagree: - Police are good to people in my broader community.,
Idealism_Police_Positive,Idealism_Police_Positive,Please indicate how strongly you agree or disagree: - Police have a positive connection to the daily lives of people in my broader community.,
Idealism_Police_Right,Idealism_Police_Right,Please indicate how strongly you agree or disagree: - Police treat people in my broader community right.,
Idealism_Police_Included,Idealism_Police_Included,Please indicate how strongly you agree or disagree: - Police treat people in my broader community with dignity and respect.,
idealism_blm_good,Idealism_Police_Dishonest_R,"Please indicate how strongly you agree or disagree with the following statements about the Black Lives Matter protest movement in support of reforming policing to reduce racial bias and redirecting some police funding to other social services. - Most of the people involved in the Black Lives Matter protests are good, moral people.",
idealism_blm_cooperate,Idealism_Police_Considerate,Please indicate how strongly you agree or disagree with the following statements about the Black Lives Matter protest movement in support of reforming policing to reduce racial bias and redirecting some police funding to other social services. - Most of the people involved in the Black Lives Matter protests cooperate well with each other.,
idealism_blm_welcome_me,Idealism_Police_Good,"Please indicate how strongly you agree or disagree with the following statements about the Black Lives Matter protest movement in support of reforming policing to reduce racial bias and redirecting some police funding to other social services. - If I were to attend a meeting or protest, Black Lives Matter protesters would welcome me.",
idealism_blm_better_country,Q514_24,"Please indicate how strongly you agree or disagree with the following statements about the Black Lives Matter protest movement in support of reforming policing to reduce racial bias and redirecting some police funding to other social services. - If they succeed, the Black Lives Matter movement will make the US a better country.",
idealism_btb_good,Idealism_Police_Dishonest_R,"Please indicate how strongly you agree or disagree with the following statements about the Back The Blue protest movement to support current policing practices and increase police funding. - Most of the people involved in the Back the Blue protests are good, moral people.",
idealism_btb_cooperate,Idealism_Police_Considerate,Please indicate how strongly you agree or disagree with the following statements about the Back The Blue protest movement to support current policing practices and increase police funding. - Most of the people involved in the Back the Blue protests cooperate well with each other.,
idealism_btb_welcome_me,Idealism_Police_Good,"Please indicate how strongly you agree or disagree with the following statements about the Back The Blue protest movement to support current policing practices and increase police funding. - If I were to attend a meeting or protest, Back the Blue protesters would welcome me.",
idealism_btb_better_country,Q514_24,"Please indicate how strongly you agree or disagree with the following statements about the Back The Blue protest movement to support current policing practices and increase police funding. - If they succeed, the Back the Blue movement will make the US a better country.",
effectiveness_of_blm_pre,Q527,"In your opinion, how successful will the Black Lives Matter protests be in influencing the way policing is done in the United States?",
effectiveness_of_btb_pre,Q528,"In your opinion, how successful will the Back The Blue protests be in influencing the way policing is done in the United States?",
Q104_First Click,Q104_First Click,Timing - First Click,
Q104_Last Click,Q104_Last Click,Timing - Last Click,
Q104_Page Submit,Q104_Page Submit,Timing - Page Submit,
Q104_Click Count,Q104_Click Count,Timing - Click Count,
Q508_First Click,Q508_First Click,Timing - First Click,"{""ImportId"":""QID508_FIRST_CLICK""}"
Q508_Last Click,Q508_Last Click,Timing - Last Click,"{""ImportId"":""QID508_LAST_CLICK""}"
Q508_Page Submit,Q508_Page Submit,Timing - Page Submit,"{""ImportId"":""QID508_PAGE_SUBMIT""}"
Q508_Click Count,Q508_Click Count,Timing - Click Count,"{""ImportId"":""QID508_CLICK_COUNT""}"
Q502_First Click,Q502_First Click,Timing - First Click,"{""ImportId"":""QID502_FIRST_CLICK""}"
Q502_Last Click,Q502_Last Click,Timing - Last Click,"{""ImportId"":""QID502_LAST_CLICK""}"
Q502_Page Submit,Q502_Page Submit,Timing - Page Submit,"{""ImportId"":""QID502_PAGE_SUBMIT""}"
Q502_Click Count,Q502_Click Count,Timing - Click Count,"{""ImportId"":""QID502_CLICK_COUNT""}"
Elevation_want_to_help,Elevation_want_to_help,How much did the video make you feel... - Want to help,"{""ImportId"":""QID423_17""}"
