new_name,qualtrics_header_1,qualtrics_header_2,qualtrics_header_3
StartDate,StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}"
EndDate,EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}"
delete,Status,Response Type,"{""ImportId"":""status""}"
delete,IPAddress,IP Address,"{""ImportId"":""ipAddress""}"
Progress,Progress,Progress,"{""ImportId"":""progress""}"
Duration (in seconds),Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
Finished,Finished,Finished,"{""ImportId"":""finished""}"
RecordedDate,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}"
delete,ResponseId,Response ID,"{""ImportId"":""_recordId""}"
delete,RecipientLastName,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
delete,RecipientFirstName,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
delete,RecipientEmail,Recipient Email,"{""ImportId"":""recipientEmail""}"
delete,ExternalReference,External Data Reference,"{""ImportId"":""externalDataReference""}"
delete,LocationLatitude,Location Latitude,"{""ImportId"":""locationLatitude""}"
delete,LocationLongitude,Location Longitude,"{""ImportId"":""locationLongitude""}"
delete,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
delete,UserLanguage,User Language,"{""ImportId"":""userLanguage""}"
Idealism_Community_Dishonest_R,Idealism_Community_Dishonest_R,Please indicate how strongly you agree or disagree: - People in my broader community are basically dishonest with each other.,"{""ImportId"":""QID383_4""}"
Idealism_Community_Considerate,Idealism_Community_Considerate,Please indicate how strongly you agree or disagree: - People in my broader community are considerate of the interests of each other.,"{""ImportId"":""QID383_5""}"
Idealism_Community_Good,Idealism_Community_Good,Please indicate how strongly you agree or disagree: - People in my broader community are good to each other.,"{""ImportId"":""QID383_19""}"
Idealism_Community_Positive,Idealism_Community_Positive,Please indicate how strongly you agree or disagree: - People in my broader community's daily lives are connected to each other in positive ways.,"{""ImportId"":""QID383_20""}"
Idealism_Community_Right,Idealism_Community_Right,Please indicate how strongly you agree or disagree: - People in my broader community treat each other right.,"{""ImportId"":""QID383_21""}"
Idealism_Community_Included,Idealism_Community_Included,Please indicate how strongly you agree or disagree: - People in my broader community treat each other with dignity and respect.,"{""ImportId"":""QID383_22""}"
Idealism_Elites_Dishonest_R,Idealism_Elites_Dishonest_R,Please indicate how strongly you agree or disagree: - Influential people are basically dishonest toward people in my broader community.,"{""ImportId"":""QID381_4""}"
Idealism_Elites_Considerate,Idealism_Elites_Considerate,Please indicate how strongly you agree or disagree: - Influential people are considerate of the interests of people in my broader community.,"{""ImportId"":""QID381_5""}"
Idealism_Elites_Good,Idealism_Elites_Good,Please indicate how strongly you agree or disagree: - Influential people  are good to people in my broader community.,"{""ImportId"":""QID381_19""}"
Idealism_Elites_Positive,Idealism_Elites_Positive,Please indicate how strongly you agree or disagree: - Influential people  have a positive connection to the daily lives of people in my broader community.,"{""ImportId"":""QID381_20""}"
Idealism_Elites_Right,Idealism_Elites_Right,Please indicate how strongly you agree or disagree: - Influential people  treat people in my broader community right.,"{""ImportId"":""QID381_21""}"
Idealism_Elites_Included,Idealism_Elites_Included,Please indicate how strongly you agree or disagree: - Influential people  treat people in my broader community with dignity and respect.,"{""ImportId"":""QID381_22""}"
Idealism_Police_Dishonest_R,Idealism_Police_Dishonest_R,Please indicate how strongly you agree or disagree: - Police are basically dishonest toward people in my broader community.,"{""ImportId"":""QID385_4""}"
Idealism_Police_Considerate,Idealism_Police_Considerate,Please indicate how strongly you agree or disagree: - Police are considerate of the interests of people in my broader community.,"{""ImportId"":""QID385_5""}"
Idealism_Police_Good,Idealism_Police_Good,Please indicate how strongly you agree or disagree: - Police are good to people in my broader community.,"{""ImportId"":""QID385_19""}"
Idealism_Police_Positive,Idealism_Police_Positive,Please indicate how strongly you agree or disagree: - Police have a positive connection to the daily lives of people in my broader community.,"{""ImportId"":""QID385_20""}"
Idealism_Police_Right,Idealism_Police_Right,Please indicate how strongly you agree or disagree: - Police treat people in my broader community right.,"{""ImportId"":""QID385_21""}"
Idealism_Police_Included,Idealism_Police_Included,Please indicate how strongly you agree or disagree: - Police treat people in my broader community with dignity and respect.,"{""ImportId"":""QID385_22""}"
Q104_First Click,Q104_First Click,Timing - First Click,"{""ImportId"":""QID491_FIRST_CLICK""}"
Q104_Last Click,Q104_Last Click,Timing - Last Click,"{""ImportId"":""QID491_LAST_CLICK""}"
Q104_Page Submit,Q104_Page Submit,Timing - Page Submit,"{""ImportId"":""QID491_PAGE_SUBMIT""}"
Q104_Click Count,Q104_Click Count,Timing - Click Count,"{""ImportId"":""QID491_CLICK_COUNT""}"
Q502_First Click,Q502_First Click,Timing - First Click,"{""ImportId"":""QID502_FIRST_CLICK""}"
Q502_Last Click,Q502_Last Click,Timing - Last Click,"{""ImportId"":""QID502_LAST_CLICK""}"
Q502_Page Submit,Q502_Page Submit,Timing - Page Submit,"{""ImportId"":""QID502_PAGE_SUBMIT""}"
Q502_Click Count,Q502_Click Count,Timing - Click Count,"{""ImportId"":""QID502_CLICK_COUNT""}"
Elevation_want_to_help,Elevation_want_to_help,How much did the video make you feel... - Want to help,"{""ImportId"":""QID423_17""}"
Elevation_feel_close,Elevation_feel_close,How much did the video make you feel... - Feel close to other people,"{""ImportId"":""QID423_18""}"
Elevation_better_person,Elevation_better_person,How much did the video make you feel... - Want to be a better person,"{""ImportId"":""QID423_19""}"
Elevation_find_ways_to_help,Elevation_find_ways_to_help,How much did the video make you feel... - Want to find new ways to help,"{""ImportId"":""QID423_20""}"
Elevation_warmth,Elevation_warmth,How much did the video make you feel... - The physical sensation of warmth in chest,"{""ImportId"":""QID424_25""}"
Elevation_Lump,Elevation_Lump,How much did the video make you feel... - Lump in throat,"{""ImportId"":""QID424_22""}"
Elevation_Tears,Elevation_Tears,How much did the video make you feel... - Tears in eyes,"{""ImportId"":""QID424_23""}"
Elevation_Goosebumps,Elevation_Goosebumps,How much did the video make you feel... - Goosebumps/chills/tingles,"{""ImportId"":""QID424_24""}"
Elevation_Uplifted,Elevation_Uplifted,How much did the video make you feel... - Uplifted,"{""ImportId"":""QID422_6""}"
